cve,cvssV3,cvssV2
CVE-2003-0120,NA,1.2
CVE-2003-0121,NA,7.5
CVE-2003-0122,NA,5.0
CVE-2003-0123,NA,5.0
CVE-2003-0124,NA,4.6
CVE-2003-0125,NA,5.0
CVE-2003-0126,NA,7.5
CVE-2003-0127,NA,7.2
CVE-2003-0128,NA,5.0
CVE-2003-0129,NA,5.0
CVE-2003-0130,NA,5.0
CVE-2003-0131,NA,7.5
CVE-2003-0132,NA,5.0
CVE-2003-0133,NA,5.0
CVE-2003-0134,NA,5.0
CVE-2003-0135,NA,7.5
CVE-2003-0136,NA,2.1
CVE-2003-0137,NA,5.0
CVE-2003-0138,NA,7.5
CVE-2003-0139,NA,7.5
CVE-2003-0140,NA,7.5
CVE-2003-0141,NA,5.1
CVE-2003-0142,NA,5.0
CVE-2003-0143,NA,10.0
CVE-2003-0144,NA,7.2
CVE-2003-0145,NA,5.0
CVE-2003-0146,NA,7.5
CVE-2003-0147,NA,5.0
CVE-2003-0148,NA,7.2
CVE-2003-0149,NA,7.5
CVE-2003-0150,NA,9.0
CVE-2003-0151,NA,7.5
CVE-2003-0152,NA,7.5
CVE-2003-0153,NA,5.0
CVE-2003-0154,NA,6.8
CVE-2003-0155,NA,5.0
CVE-2003-0156,NA,5.0
CVE-2003-0157,NA,NA
CVE-2003-0158,NA,NA
CVE-2003-0159,NA,7.5
CVE-2003-0160,NA,5.8
CVE-2003-0161,NA,10.0
CVE-2003-0162,NA,7.5
CVE-2003-0163,NA,5.0
CVE-2003-0165,NA,4.6
CVE-2003-0166,NA,7.5
CVE-2003-0167,NA,7.5
CVE-2003-0168,NA,7.5
CVE-2003-0169,NA,5.0
CVE-2003-0170,NA,10.0
CVE-2003-0171,NA,7.2
CVE-2003-0172,NA,7.5
CVE-2003-0173,NA,7.2
CVE-2003-0174,NA,7.5
CVE-2003-0175,NA,2.1
CVE-2003-0176,NA,5.0
CVE-2003-0177,NA,4.6
CVE-2003-0178,NA,10.0
CVE-2003-0179,NA,7.5
CVE-2003-0180,NA,5.0
CVE-2003-0181,NA,5.0
CVE-2003-0187,NA,5.0
CVE-2003-0188,NA,7.2
CVE-2003-0189,NA,5.0
CVE-2003-0190,NA,5.0
CVE-2003-0192,NA,6.4
CVE-2003-0193,NA,2.1
CVE-2003-0194,NA,4.6
CVE-2003-0195,NA,5.0
CVE-2003-0196,NA,10.0
CVE-2003-0197,NA,7.2
CVE-2003-0198,NA,6.4
CVE-2003-0199,NA,NA
CVE-2003-0200,NA,NA
CVE-2003-0201,NA,10.0
CVE-2003-0202,NA,4.6
CVE-2003-0203,NA,7.5
CVE-2003-0204,NA,7.5
CVE-2003-0205,NA,7.5
CVE-2003-0206,NA,5.0
CVE-2003-0207,NA,2.1
CVE-2003-0208,NA,4.3
CVE-2003-0209,NA,10.0
CVE-2003-0210,NA,7.5
CVE-2003-0211,NA,5.0
CVE-2003-0212,NA,7.5
CVE-2003-0213,NA,7.5
CVE-2003-0214,NA,4.6
CVE-2003-0215,NA,7.5
CVE-2003-0216,NA,9.3
CVE-2003-0217,NA,6.8
CVE-2003-0218,NA,7.5
CVE-2003-0219,NA,7.5
CVE-2003-0220,NA,7.5
CVE-2003-0221,NA,7.2
CVE-2003-0222,NA,9.0
CVE-2003-0223,NA,6.8
CVE-2003-0224,NA,10.0
CVE-2003-0225,NA,5.0
CVE-2003-0226,NA,5.0
CVE-2003-0227,NA,5.0
CVE-2003-0228,NA,7.5
CVE-2003-0230,NA,7.2
CVE-2003-0231,NA,5.0
CVE-2003-0232,NA,7.2
CVE-2003-0233,NA,7.5
CVE-2003-0235,NA,7.5
CVE-2003-0236,NA,7.5
CVE-2003-0237,NA,7.5
CVE-2003-0238,NA,5.0
CVE-2003-0239,NA,5.0
CVE-2003-0240,NA,10.0
CVE-2003-0241,NA,7.5
CVE-2003-0242,NA,7.5
CVE-2003-0243,NA,7.5
CVE-2003-0244,NA,5.0
CVE-2003-0245,NA,5.0
CVE-2003-0246,NA,3.6
CVE-2003-0247,NA,5.0
CVE-2003-0248,NA,10.0
CVE-2003-0249,NA,7.5
CVE-2003-0251,NA,5.0
CVE-2003-0252,NA,10.0
CVE-2003-0253,NA,5.0
CVE-2003-0254,NA,5.0
CVE-2003-0255,NA,10.0
CVE-2003-0256,NA,7.5
CVE-2003-0257,NA,7.2
CVE-2003-0258,NA,7.5
CVE-2003-0259,NA,5.0
CVE-2003-0260,NA,5.0
CVE-2003-0261,NA,4.6
CVE-2003-0262,NA,7.2
CVE-2003-0263,NA,7.5
CVE-2003-0264,NA,7.5
CVE-2003-0265,NA,6.2
CVE-2003-0266,NA,7.5
CVE-2003-0267,NA,5.0
CVE-2003-0268,NA,5.0
CVE-2003-0269,NA,7.2
CVE-2003-0270,NA,7.6
CVE-2003-0271,NA,7.5
CVE-2003-0272,NA,10.0
CVE-2003-0273,NA,6.8
CVE-2003-0274,NA,10.0
CVE-2003-0275,NA,5.1
CVE-2003-0276,NA,5.0
CVE-2003-0277,NA,5.0
CVE-2003-0278,NA,6.8
CVE-2003-0279,NA,2.6
CVE-2003-0280,NA,10.0
CVE-2003-0281,NA,4.6
CVE-2003-0282,NA,2.6
CVE-2003-0283,NA,6.8
CVE-2003-0284,NA,7.5
CVE-2003-0285,NA,5.0
CVE-2003-0286,NA,7.5
CVE-2003-0287,NA,6.8
CVE-2003-0288,NA,10.0
CVE-2003-0289,NA,7.2
CVE-2003-0290,NA,5.0
CVE-2003-0291,NA,5.0
CVE-2003-0292,NA,6.8
CVE-2003-0293,NA,5.0
CVE-2003-0294,NA,5.0
CVE-2003-0295,NA,6.8
CVE-2003-0296,NA,7.5
CVE-2003-0297,NA,7.5
CVE-2003-0298,NA,7.5
CVE-2003-0299,NA,7.5
CVE-2003-0300,NA,5.0
CVE-2003-0301,NA,5.0
CVE-2003-0302,NA,5.0
CVE-2003-0303,NA,5.0
CVE-2003-0304,NA,10.0
CVE-2003-0305,NA,5.0
CVE-2003-0306,NA,7.2
CVE-2003-0307,NA,7.5
CVE-2003-0308,NA,7.2
CVE-2003-0309,NA,7.5
CVE-2003-0310,NA,6.8
CVE-2003-0312,NA,6.4
CVE-2003-0313,NA,6.4
CVE-2003-0314,NA,6.4
CVE-2003-0315,NA,7.5
CVE-2003-0316,NA,5.0
CVE-2003-0317,NA,7.5
CVE-2003-0318,NA,4.3
CVE-2003-0319,NA,7.5
CVE-2003-0320,NA,7.5
CVE-2003-0321,NA,7.5
CVE-2003-0322,NA,5.0
CVE-2003-0323,NA,7.5
CVE-2003-0324,NA,7.5
CVE-2003-0325,NA,4.6
CVE-2003-0326,NA,4.6
CVE-2003-0327,NA,5.0
CVE-2003-0328,NA,7.5
CVE-2003-0329,NA,4.6
CVE-2003-0330,NA,4.6
CVE-2003-0331,NA,10.0
CVE-2003-0332,NA,7.6
CVE-2003-0333,NA,7.2
CVE-2003-0334,NA,2.1
CVE-2003-0335,NA,7.5
CVE-2003-0336,NA,5.0
CVE-2003-0337,NA,4.6
CVE-2003-0338,NA,5.0
CVE-2003-0339,NA,7.5
CVE-2003-0340,NA,7.5
CVE-2003-0341,NA,6.8
CVE-2003-0342,NA,4.6
CVE-2003-0343,NA,4.6
CVE-2003-0344,NA,7.5
CVE-2003-0345,NA,7.5
CVE-2003-0346,NA,7.5
CVE-2003-0347,NA,10.0
CVE-2003-0348,NA,6.4
CVE-2003-0349,NA,7.5
CVE-2003-0350,NA,4.6
CVE-2003-0351,NA,NA
CVE-2003-0352,NA,7.5
CVE-2003-0353,NA,7.5
CVE-2003-0354,NA,7.5
CVE-2003-0355,NA,5.0
CVE-2003-0356,NA,10.0
CVE-2003-0357,NA,7.5
CVE-2003-0358,NA,4.6
CVE-2003-0359,NA,4.6
CVE-2003-0360,NA,7.5
CVE-2003-0361,NA,7.5
CVE-2003-0362,NA,5.0
CVE-2003-0363,NA,7.5
CVE-2003-0364,NA,5.0
CVE-2003-0365,NA,4.6
CVE-2003-0366,NA,5.0
CVE-2003-0367,NA,2.1
CVE-2003-0368,NA,5.0
CVE-2003-0370,NA,7.5
CVE-2003-0371,NA,7.5
CVE-2003-0372,NA,4.6
CVE-2003-0373,NA,4.4
CVE-2003-0374,NA,10.0
CVE-2003-0375,NA,4.3
CVE-2003-0376,NA,5.0
CVE-2003-0377,NA,7.5
CVE-2003-0378,NA,7.5
CVE-2003-0379,NA,5.0
CVE-2003-0380,NA,7.5
CVE-2003-0381,NA,2.1
CVE-2003-0382,NA,4.6
CVE-2003-0385,NA,7.2
CVE-2003-0386,NA,7.5
CVE-2003-0388,NA,4.6
CVE-2003-0389,NA,4.3
CVE-2003-0390,NA,4.6
CVE-2003-0391,NA,7.5
CVE-2003-0392,NA,6.4
CVE-2003-0393,NA,5.0
CVE-2003-0394,NA,7.5
CVE-2003-0395,NA,7.5
CVE-2003-0396,NA,4.6
CVE-2003-0397,NA,7.5
CVE-2003-0398,NA,7.5
CVE-2003-0399,NA,6.4
CVE-2003-0400,NA,5.0
CVE-2003-0401,NA,5.0
CVE-2003-0402,NA,5.0
CVE-2003-0403,NA,7.5
CVE-2003-0404,NA,4.3
CVE-2003-0405,NA,5.0
CVE-2003-0406,NA,7.2
CVE-2003-0407,NA,10.0
CVE-2003-0408,NA,7.2
CVE-2003-0409,NA,10.0
CVE-2003-0410,NA,10.0
CVE-2003-0411,NA,5.0
CVE-2003-0412,NA,5.0
CVE-2003-0413,NA,6.8
CVE-2003-0414,NA,7.2
CVE-2003-0415,NA,5.0
CVE-2003-0416,NA,6.8
CVE-2003-0417,NA,5.0
CVE-2003-0418,NA,5.0
CVE-2003-0419,NA,5.0
CVE-2003-0420,NA,4.6
CVE-2003-0421,NA,10.0
CVE-2003-0422,NA,5.0
CVE-2003-0423,NA,5.0
CVE-2003-0424,NA,5.0
CVE-2003-0425,NA,5.0
CVE-2003-0426,NA,10.0
CVE-2003-0427,NA,7.5
CVE-2003-0428,NA,5.0
CVE-2003-0429,NA,7.5
CVE-2003-0430,NA,5.0
CVE-2003-0431,NA,10.0
CVE-2003-0432,NA,10.0
CVE-2003-0433,NA,7.5
CVE-2003-0434,NA,7.5
CVE-2003-0435,NA,7.5
CVE-2003-0436,NA,7.5
CVE-2003-0437,NA,7.5
CVE-2003-0438,NA,1.2
CVE-2003-0439,NA,NA
CVE-2003-0440,NA,4.6
CVE-2003-0441,NA,7.2
CVE-2003-0442,NA,4.3
CVE-2003-0444,NA,7.5
CVE-2003-0445,NA,7.5
CVE-2003-0446,NA,4.3
CVE-2003-0447,NA,5.1
CVE-2003-0448,NA,3.6
CVE-2003-0449,NA,4.6
CVE-2003-0450,NA,7.5
CVE-2003-0451,NA,4.6
CVE-2003-0452,NA,4.6
CVE-2003-0453,NA,10.0
CVE-2003-0454,NA,7.2
CVE-2003-0455,NA,4.6
CVE-2003-0456,NA,5.0
CVE-2003-0458,NA,4.6
CVE-2003-0459,NA,5.0
CVE-2003-0460,NA,5.0
CVE-2003-0461,NA,2.1
CVE-2003-0462,NA,1.2
CVE-2003-0463,NA,NA
CVE-2003-0464,NA,4.6
CVE-2003-0465,NA,5.0
CVE-2003-0466,NA,10.0
CVE-2003-0467,NA,5.0
CVE-2003-0468,NA,5.0
CVE-2003-0469,NA,7.5
CVE-2003-0470,NA,7.5
CVE-2003-0471,NA,7.5
CVE-2003-0472,NA,5.0
CVE-2003-0473,NA,10.0
CVE-2003-0474,NA,5.0
CVE-2003-0475,NA,5.0
CVE-2003-0476,NA,2.1
CVE-2003-0477,NA,5.0
CVE-2003-0478,NA,10.0
CVE-2003-0479,NA,4.3
CVE-2003-0480,NA,3.7
CVE-2003-0481,NA,4.3
CVE-2003-0482,NA,7.5
CVE-2003-0483,NA,6.8
CVE-2003-0484,NA,6.8
CVE-2003-0485,NA,4.6
CVE-2003-0486,NA,5.0
CVE-2003-0487,NA,7.5
CVE-2003-0488,NA,5.1
CVE-2003-0489,NA,7.2
CVE-2003-0490,NA,7.2
CVE-2003-0491,NA,7.5
CVE-2003-0492,NA,6.8
CVE-2003-0493,NA,10.0
CVE-2003-0494,NA,10.0
CVE-2003-0495,NA,4.3
CVE-2003-0496,NA,7.2
CVE-2003-0497,NA,7.2
CVE-2003-0498,NA,7.2
CVE-2003-0499,NA,3.6
CVE-2003-0500,NA,10.0
CVE-2003-0501,NA,2.1
CVE-2003-0502,NA,10.0
CVE-2003-0503,NA,7.5
CVE-2003-0504,NA,4.3
CVE-2003-0505,NA,5.0
CVE-2003-0506,NA,5.0
CVE-2003-0507,NA,7.5
CVE-2003-0508,NA,7.5
CVE-2003-0509,NA,10.0
CVE-2003-0510,NA,7.5
CVE-2003-0511,NA,5.0
CVE-2003-0512,NA,5.0
CVE-2003-0513,NA,7.5
CVE-2003-0514,NA,7.5
CVE-2003-0515,NA,7.5
CVE-2003-0516,NA,7.5
CVE-2003-0517,NA,2.1
CVE-2003-0518,NA,4.6
CVE-2003-0519,NA,5.0
CVE-2003-0520,NA,5.0
CVE-2003-0521,NA,6.8
CVE-2003-0522,NA,10.0
CVE-2003-0523,NA,6.8
CVE-2003-0524,NA,6.2
CVE-2003-0525,NA,5.0
CVE-2003-0526,NA,6.8
CVE-2003-0528,NA,10.0
CVE-2003-0530,NA,7.5
CVE-2003-0531,NA,7.5
CVE-2003-0532,NA,7.5
CVE-2003-0533,NA,7.5
CVE-2003-0535,NA,7.2
CVE-2003-0536,NA,3.6
CVE-2003-0537,NA,4.6
CVE-2003-0538,NA,7.5
CVE-2003-0539,NA,4.6
CVE-2003-0540,NA,5.0
CVE-2003-0541,NA,5.0
CVE-2003-0542,NA,7.2
CVE-2003-0543,NA,5.0
CVE-2003-0544,NA,5.0
CVE-2003-0545,NA,10.0
CVE-2003-0546,NA,7.5
CVE-2003-0547,NA,2.1
CVE-2003-0548,NA,5.0
CVE-2003-0549,NA,5.0
CVE-2003-0550,NA,5.0
CVE-2003-0551,NA,5.0
CVE-2003-0552,NA,5.0
CVE-2003-0553,NA,7.5
CVE-2003-0554,NA,5.0
CVE-2003-0555,NA,7.5
CVE-2003-0556,NA,5.0
CVE-2003-0557,NA,7.5
CVE-2003-0558,NA,7.5
CVE-2003-0559,NA,7.5
CVE-2003-0560,NA,10.0
CVE-2003-0561,NA,7.5
CVE-2003-0562,NA,5.0
CVE-2003-0564,NA,5.0
CVE-2003-0565,NA,5.0
CVE-2003-0567,NA,7.8
CVE-2003-0568,NA,NA
CVE-2003-0569,NA,NA
CVE-2003-0570,NA,NA
CVE-2003-0571,NA,NA
CVE-2003-0572,NA,5.0
CVE-2003-0573,NA,5.0
CVE-2003-0574,NA,7.2
CVE-2003-0575,NA,10.0
CVE-2003-0576,NA,5.0
CVE-2003-0577,NA,7.5
CVE-2003-0578,NA,4.6
CVE-2003-0579,NA,4.6
CVE-2003-0580,NA,7.2
CVE-2003-0581,NA,7.5
CVE-2003-0582,NA,NA
CVE-2003-0583,NA,7.2
CVE-2003-0584,NA,7.2
CVE-2003-0585,NA,7.5
CVE-2003-0586,NA,7.5
CVE-2003-0587,NA,6.9
CVE-2003-0588,NA,10.0
CVE-2003-0589,NA,10.0
CVE-2003-0590,NA,7.1
CVE-2003-0591,NA,NA
CVE-2003-0592,NA,7.5
CVE-2003-0593,NA,7.5
CVE-2003-0594,NA,7.5
CVE-2003-0595,NA,7.5
CVE-2003-0596,NA,3.6
CVE-2003-0597,NA,7.2
CVE-2003-0598,NA,NA
CVE-2003-0599,NA,10.0
CVE-2003-0601,NA,7.5
CVE-2003-0602,NA,6.8
CVE-2003-0603,NA,2.1
CVE-2003-0604,NA,7.5
CVE-2003-0605,NA,7.5
CVE-2003-0606,NA,4.6
CVE-2003-0607,NA,4.6
CVE-2003-0609,NA,7.2
CVE-2003-0610,NA,5.0
CVE-2003-0611,NA,4.6
CVE-2003-0612,NA,4.6
CVE-2003-0613,NA,4.6
CVE-2003-0614,NA,4.3
CVE-2003-0615,NA,4.3
CVE-2003-0616,NA,7.5
CVE-2003-0617,NA,4.6
CVE-2003-0618,NA,2.1
CVE-2003-0619,NA,5.0
CVE-2003-0620,NA,4.6
CVE-2003-0621,NA,5.0
CVE-2003-0622,NA,5.0
CVE-2003-0623,NA,4.3
CVE-2003-0624,NA,4.3
CVE-2003-0625,NA,6.4
CVE-2003-0626,NA,5.0
CVE-2003-0627,NA,5.0
CVE-2003-0628,NA,5.0
CVE-2003-0629,NA,4.3
CVE-2003-0630,NA,7.2
CVE-2003-0631,NA,7.2
CVE-2003-0632,NA,7.5
CVE-2003-0633,NA,5.0
CVE-2003-0634,NA,7.5
CVE-2003-0635,NA,5.0
CVE-2003-0636,NA,7.5
CVE-2003-0637,NA,5.0
CVE-2003-0638,NA,7.5
CVE-2003-0639,NA,5.0
CVE-2003-0640,NA,10.0
CVE-2003-0641,NA,4.6
CVE-2003-0642,NA,2.1
CVE-2003-0643,NA,2.1
CVE-2003-0644,NA,4.6
CVE-2003-0645,NA,4.6
CVE-2003-0646,NA,7.5
CVE-2003-0647,NA,7.5
CVE-2003-0648,NA,10.0
CVE-2003-0649,NA,7.2
CVE-2003-0650,NA,7.5
CVE-2003-0651,NA,7.5
CVE-2003-0652,NA,4.6
CVE-2003-0653,NA,5.0
CVE-2003-0654,NA,7.5
CVE-2003-0655,NA,7.2
CVE-2003-0656,NA,2.1
CVE-2003-0657,NA,7.5
CVE-2003-0658,NA,5.0
CVE-2003-0659,NA,7.2
CVE-2003-0660,NA,7.5
CVE-2003-0661,NA,5.0
CVE-2003-0662,NA,9.3
CVE-2003-0663,NA,5.0
CVE-2003-0664,NA,7.5
CVE-2003-0665,NA,7.5
CVE-2003-0666,NA,7.5
CVE-2003-0669,NA,1.2
CVE-2003-0670,NA,2.1
CVE-2003-0671,NA,7.2
CVE-2003-0672,NA,7.5
CVE-2003-0676,NA,5.0
CVE-2003-0677,NA,5.0
CVE-2003-0678,NA,NA
CVE-2003-0679,NA,2.1
CVE-2003-0680,NA,7.5
CVE-2003-0681,NA,7.5
CVE-2003-0682,NA,7.5
CVE-2003-0683,NA,7.5
CVE-2003-0684,NA,NA
CVE-2003-0685,NA,7.5
CVE-2003-0686,NA,7.5
CVE-2003-0687,NA,NA
CVE-2003-0688,NA,5.0
CVE-2003-0689,NA,7.5
CVE-2003-0690,NA,10.0
CVE-2003-0691,NA,NA
CVE-2003-0692,NA,7.5
CVE-2003-0693,NA,10.0
CVE-2003-0694,NA,10.0
CVE-2003-0695,NA,7.5
CVE-2003-0696,NA,5.0
CVE-2003-0697,NA,7.2
CVE-2003-0698,NA,NA
CVE-2003-0699,NA,7.5
CVE-2003-0700,NA,7.5
CVE-2003-0701,NA,7.5
CVE-2003-0702,NA,5.0
CVE-2003-0703,NA,7.2
CVE-2003-0704,NA,7.2
CVE-2003-0705,NA,7.5
CVE-2003-0706,NA,5.0
CVE-2003-0707,NA,7.5
CVE-2003-0708,NA,7.5
CVE-2003-0709,NA,7.5
CVE-2003-0711,NA,7.5
CVE-2003-0712,NA,6.8
CVE-2003-0714,NA,7.5
CVE-2003-0715,NA,10.0
CVE-2003-0717,NA,7.5
CVE-2003-0718,NA,5.0
CVE-2003-0719,NA,7.5
CVE-2003-0720,NA,7.5
CVE-2003-0721,NA,7.5
CVE-2003-0722,NA,10.0
CVE-2003-0723,NA,7.5
CVE-2003-0724,NA,7.5
CVE-2003-0725,NA,7.5
CVE-2003-0726,NA,5.1
CVE-2003-0727,NA,2.1
CVE-2003-0728,NA,6.4
CVE-2003-0729,NA,7.5
CVE-2003-0730,NA,7.5
CVE-2003-0731,NA,10.0
CVE-2003-0732,NA,10.0
CVE-2003-0733,NA,6.8
CVE-2003-0734,NA,10.0
CVE-2003-0735,NA,7.5
CVE-2003-0736,NA,6.8
CVE-2003-0737,NA,5.0
CVE-2003-0738,NA,7.8
CVE-2003-0739,NA,4.6
CVE-2003-0740,NA,4.6
CVE-2003-0741,NA,NA
CVE-2003-0742,NA,7.2
CVE-2003-0743,NA,7.5
CVE-2003-0744,NA,5.0
CVE-2003-0745,NA,10.0
CVE-2003-0746,NA,5.0
CVE-2003-0747,NA,5.0
CVE-2003-0748,NA,5.0
CVE-2003-0749,NA,6.8
CVE-2003-0750,NA,7.5
CVE-2003-0751,NA,7.5
CVE-2003-0752,NA,7.5
CVE-2003-0753,NA,5.0
CVE-2003-0754,NA,7.5
CVE-2003-0755,NA,10.0
CVE-2003-0756,NA,5.0
CVE-2003-0757,NA,5.0
CVE-2003-0758,NA,7.2
CVE-2003-0759,NA,7.2
CVE-2003-0760,NA,5.0
CVE-2003-0761,NA,7.5
CVE-2003-0762,NA,7.5
CVE-2003-0763,NA,4.3
CVE-2003-0764,NA,5.0
CVE-2003-0765,NA,7.5
CVE-2003-0766,NA,7.5
CVE-2003-0767,NA,7.5
CVE-2003-0768,NA,6.8
CVE-2003-0769,NA,4.3
CVE-2003-0770,NA,7.5
CVE-2003-0771,NA,4.6
CVE-2003-0772,NA,7.5
CVE-2003-0773,NA,7.5
CVE-2003-0774,NA,7.5
CVE-2003-0775,NA,5.0
CVE-2003-0776,NA,7.5
CVE-2003-0777,NA,5.0
CVE-2003-0778,NA,5.0
CVE-2003-0779,NA,7.5
CVE-2003-0780,NA,9.0
CVE-2003-0781,NA,10.0
CVE-2003-0782,NA,10.0
CVE-2003-0783,NA,7.2
CVE-2003-0784,NA,10.0
CVE-2003-0785,NA,7.5
CVE-2003-0786,NA,10.0
CVE-2003-0787,NA,7.5
CVE-2003-0788,NA,5.0
CVE-2003-0789,NA,10.0
CVE-2003-0790,NA,NA
CVE-2003-0791,NA,7.5
CVE-2003-0792,NA,5.0
CVE-2003-0793,NA,2.1
CVE-2003-0794,NA,2.1
CVE-2003-0795,NA,5.0
CVE-2003-0796,NA,7.5
CVE-2003-0797,NA,5.0
CVE-2003-0798,NA,NA
CVE-2003-0799,NA,NA
CVE-2003-0800,NA,NA
CVE-2003-0801,NA,4.3
CVE-2003-0802,NA,5.0
CVE-2003-0803,NA,7.5
CVE-2003-0804,NA,5.0
CVE-2003-0805,NA,7.5
CVE-2003-0806,NA,7.5
CVE-2003-0807,NA,5.0
CVE-2003-0809,NA,7.5
CVE-2003-0812,NA,7.5
CVE-2003-0813,NA,5.1
CVE-2003-0814,NA,7.5
CVE-2003-0815,NA,7.5
CVE-2003-0816,NA,7.5
CVE-2003-0817,NA,7.5
CVE-2003-0818,NA,7.5
CVE-2003-0819,NA,10.0
CVE-2003-0820,NA,7.5
CVE-2003-0821,NA,7.5
CVE-2003-0822,NA,7.5
CVE-2003-0823,NA,7.5
CVE-2003-0824,NA,5.0
CVE-2003-0825,NA,9.3
CVE-2003-0826,NA,7.5
CVE-2003-0827,NA,5.0
CVE-2003-0828,NA,4.6
CVE-2003-0830,NA,4.6
CVE-2003-0831,NA,9.0
CVE-2003-0832,NA,5.0
CVE-2003-0833,NA,7.5
CVE-2003-0834,NA,7.2
CVE-2003-0835,NA,7.5
CVE-2003-0836,NA,7.5
CVE-2003-0837,NA,7.5
CVE-2003-0838,NA,7.5
CVE-2003-0839,NA,5.0
CVE-2003-0840,NA,7.2
CVE-2003-0841,NA,5.0
CVE-2003-0842,NA,7.5
CVE-2003-0843,NA,7.5
CVE-2003-0844,NA,2.1
CVE-2003-0845,NA,7.5
CVE-2003-0846,NA,4.6
CVE-2003-0847,NA,4.6
CVE-2003-0848,NA,4.6
CVE-2003-0849,NA,7.5
CVE-2003-0850,NA,7.5
CVE-2003-0851,NA,5.0
CVE-2003-0852,NA,5.0
CVE-2003-0853,NA,5.0
CVE-2003-0854,NA,2.1
CVE-2003-0855,NA,7.8
CVE-2003-0856,NA,4.9
CVE-2003-0857,NA,4.6
CVE-2003-0858,NA,2.1
CVE-2003-0859,NA,4.9
CVE-2003-0860,NA,10.0
CVE-2003-0861,NA,10.0
CVE-2003-0862,NA,NA
CVE-2003-0863,NA,7.5
